Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Eficiência Acadêmica | Concluídos;Eficiência Acadêmica | Concluídos %;Eficiência Acadêmica | Índice de Eficiência Acadêmica %;Eficiência Acadêmica | Número de Evadidos;Eficiência Acadêmica | Retidos;Eficiência Acadêmica | Retidos %;Eficiência Acadêmica | Taxa de Evasão %
2020;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;3303;0,3881316098707403;0,42779432715969434;4418;789;0,09271445358401881;0,5191539365452409
2020;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;1938;0,41216503615482775;0,4863237139272271;2047;717;0,15248830284985113;0,43534666099532116
2020;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IFG;Instituto Federal de Goiás;1950;0,41524701873935266;0,4719264278799613;2182;564;0,1201022146507666;0,46465076660988075
2020;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;1692;0,34509483989394246;0,3796275521651335;2765;446;0,09096471548031818;0,5639404446257393
2020;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;3855;0,4965224111282844;0,5626094570928196;2997;912;0,11746522411128284;0,38601236476043277
2020;Nordeste;AL;Alagoas;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;2333;0,4428625664388762;0,48930369127516776;2435;500;0,09491268033409264;0,4622247532270311
2020;Nordeste;AL;Alagoas;Universidades Federais;UFAL - ETA;Universidade Federal de Alagoas;53;0,5638297872340425;0,5888888888888889;37;4;0,0425531914893617;0,39361702127659576
2020;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IF BAIANO;Instituto Federal Baiano;3703;0,527042413891261;0,5738416240508291;2750;573;0,08155422715627669;0,3914033589524623
2020;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IFBA;Instituto Federal da Bahia;2471;0,3203682095164009;0,41149042464612823;3534;1708;0,22144431479320628;0,45818747569039286
2020;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;8875;0,44158622748532195;0,49675361020933617;8991;2232;0,11105582645039308;0,44735794606428503
2020;Nordeste;MA;Maranhão;Institutos Federais, Cefet's e Colégio Pedro II;IFMA;Instituto Federal do Maranhão;4770;0,4873314262362076;0,62434554973822;2870;2148;0,21945239068246833;0,2932161830813241
2020;Nordeste;MA;Maranhão;Universidades Federais;UFMA - COLUN;Universidade Federal do Maranhão;53;0,6883116883116883;0,7361111111111112;19;5;0,06493506493506493;0,24675324675324675
