dCalendário[Ano];d_IES[UF];d_IES[Organização Acadêmica];dimUnidade[Instituicao];d_IES[Instituição (Nome)];dimCurso[nomeCurso];dimCurso[tipoCurso];dimCurso[tipoEixoTecnologico];dimCurso[SubeixoTecnologico];Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente Apresentada Geral
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Agente Cultural;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;2;17;27;30;49;30;10,1375
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Agente de Assistência Técnica e Extensão Rural;Qualificação Profissional (FIC);Recursos Naturais;Agrícola;2;18;23;23;23;40;4,6000000000000005
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Agricultor Orgânico;Qualificação Profissional (FIC);Recursos Naturais;Agrícola;1;19;31;35;31;40;6,2
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Agroecologia;Tecnologia;Recursos Naturais;Agrícola;2;50;75;1210;266;80;319,2
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Agroindústria;Tecnologia;Produção Alimentícia;Agroindustria;1;20;40;216;114;40;131,1
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Auxiliar de Agropecuária;Qualificação Profissional (FIC);Recursos Naturais;Agrícola;1;9;40;40;40;40;8
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Ciências Biológicas;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;2;95;81;925;324;80;356,40000000000003
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Ciências da Natureza;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;;;;2;;2,2
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Espanhol Básico;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;20;26;72;26;26;6,5
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Especialização - Desenvolvimento Educacional e Social;Especialização (Lato Sensu);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;3;10;;;52;;52
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Especialização - Recursos Naturais;Especialização (Lato Sensu);Recursos Naturais;Recursos Naturais;1;;30;30;30;30;30
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Física;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;2;38;80;1127;264;80;290,40000000000003
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Gestão Ambiental;Tecnologia;Ambiente e Saúde;Meio Ambiente;1;51;40;557;158;40;173,8
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Horticultor Orgânico;Qualificação Profissional (FIC);Recursos Naturais;Agrícola;1;12;;;35;;8,75
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Inglês Básico;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;5;;;21;;4,2
